,Programma,Data,Tipologia,Duration (min),Mean Segment Duration (s),CPS (char/sec),Number of Segments
0,MEZZORAINPIU,10_10_21,TalkShow,35.25,3.62,12.3,540
1,MEZZORAINPIU,14_03_21,TalkShow,30.2,3.38,12.56,462
2,MEZZORAINPIU,23_05_21,TalkShow,28.83,3.45,13.11,442
3,MEZZORAINPIU,24_10_21,TalkShow,27.65,3.53,12.05,435
4,MEZZORAINPIU,27_03_22,TalkShow,28.0,3.33,12.19,460
5,PORTAPORTA,09_06_21,TalkShow,86.93,3.97,11.97,1169
6,PORTAPORTA,15_06_22,TalkShow,104.21,3.83,12.49,1561
7,PORTAPORTA,22_06_22,TalkShow,118.64,3.72,12.16,1824
8,PORTAPORTA,23_06_22,TalkShow,96.25,3.6,12.74,1497
9,PORTAPORTA,28_06_22,TalkShow,108.7,3.71,12.18,1639
10,PRESADIRETTA,07_02_22,Inchiesta,105.76,3.79,11.63,1505
11,PRESADIRETTA,13_03_23,Inchiesta,109.53,3.7,11.46,1610
12,PRESADIRETTA,14_02_22,Inchiesta,109.61,3.44,12.66,1766
13,PRESADIRETTA,14_03_22,Inchiesta,109.67,3.4,13.03,1773
14,PRESADIRETTA,15_03_21,Inchiesta,106.29,4.06,11.52,1394
15,REPORT,10_05_21,Inchiesta,106.97,4.24,10.22,1363
16,REPORT,11_04_22,Inchiesta,107.64,3.52,12.16,1659
17,REPORT,12_04_21,Inchiesta,110.93,3.92,10.51,1471
18,REPORT,13_06_22,Inchiesta,105.99,3.69,11.81,1571
19,REPORT,20_12_21,Inchiesta,112.27,3.62,11.3,1635
20,ULISSE,03_06_21,Divulgazione,124.15,4.04,9.55,1514
21,ULISSE,05_05_21,Divulgazione,125.93,3.69,10.02,1709
22,ULISSE,09_04_22,Divulgazione,123.96,3.78,9.97,1664
23,ULISSE,16_04_22,Divulgazione,127.13,3.8,9.84,1666
24,ULISSE,21_04_21,Divulgazione,126.74,3.9,11.0,1702
25,ULISSE,23_04_22,Divulgazione,127.13,3.52,11.23,1853
26,ULISSE,25_01_22,Divulgazione,128.9,4.05,9.55,1586
27,ULISSE,27_05_21,Divulgazione,122.0,3.85,8.93,1482
28,ULISSE,28_04_21,Divulgazione,127.22,3.68,10.08,1670
29,ULISSE,30_04_22,Divulgazione,122.37,3.69,9.49,1555
